Ofício	Processo	Prazo
020.585/2026-SEPROC	011.358/2026-2	5 dias
020.583/2026-SEPROC	011.358/2026-2	5 dias
020.534/2026-SEPROC	011.943/2026-2	15 dias
000.156/2026-AUDCONTRATAÇÕES	006.649/2026-2	10 dias
000.904/2026-AUDPESSOAL	031.427/2014-6	15 dias
014.563/2026-SEPROC	002.982/2026-9	15 dias
014.742/2026-SEPROC	007.235/2026-7	15 dias
014.737/2026-SEPROC	007.235/2026-7	15 dias
009.215/2026-SEPROC	045.307/2021-0	15 dias
007.301/2026-SEPROC	001.497/2026-0	15 dias
007.101/2026-SEPROC	000.890/2025-1	15 dias
007.048/2026-SEPROC	024.354/2025-2	15 dias
005.692/2026-SEPROC	015.553/2025-6	15 dias
005.538/2026-SEPROC	001.471/2026-0	15 dias
005.546/2026-SEPROC	001.471/2026-0	15 dias
005.221/2026-SEPROC	033.078/2023-8	15 dias
000.114/2026-AUDEDUCAÇÃO	011.103/2025-6	15 dias
000.218/2026-AUDPESSOAL	007.442/2025-4	30 dias
003.649/2026-SEPROC	001.364/2026-0	15 dias
003.646/2026-SEPROC	001.364/2026-0	5 dias
003.647/2026-SEPROC	001.364/2026-0	15 dias
000.126/2026-SEPROC	016.714/2021-0	60 dias
054.263/2025-SEPROC	008.583/2025-0	42 dias
053.145/2025-SEPROC	009.123/2025-3	30 dias
053.144/2025-SEPROC	009.123/2025-3	30 dias
002.792/2025-AUDPESSOAL	023.685/2025-5	5 dias
050.751/2025-SEPROC	018.781/2024-1	15 dias
002.628/2025-AUDPESSOAL	010.167/2025-0	15 dias
047.982/2025-SEPROC	037.375/2023-7	15 dias
047.741/2025-SEPROC	021.085/2025-0	15 dias
046.800/2025-SEPROC	018.375/2025-1	15 dias
040.629/2025-SEPROC	005.226/2023-6	15 dias
037.576/2025-SEPROC	003.936/2025-2	15 dias
036.627/2025-SEPROC	024.405/2024-8	10 dias
037.039/2025-SEPROC	000.375/2025-0	45 dias
035.066/2025-SEPROC	015.103/2025-0	15 dias
034.940/2025-SEPROC	004.819/2023-3	180 dias
000.683/2025-AUDEDUCAÇÃO	011.103/2025-6	15 dias
033.988/2025-SEPROC	028.516/2024-9	15 dias
033.987/2025-SEPROC	028.516/2024-9	15 dias
