NOME_DIRIGENTE;NOME_CARGO;NOME_UNIDADE;DATA_INICIO_AFASTAMENTO;DATA_FIM_AFASTAMENTO;NOME_MOTIVO_AFASTAMENTO
FRANCISCO MACENA DA SILVA                                ;Ministro do Trabalho e Emprego - Substituto;Gabinete do Ministro;01/02/2023;01/02/2023;Vacância
LUIZ MARINHO                                             ;Ministro do Trabalho e Emprego;Gabinete do Ministro;23/04/2023;26/04/2023;Viagem Oficial
FRANCISCO MACENA DA SILVA                                ;Ministro do Trabalho e Emprego - Substituto;Gabinete do Ministro;23/04/2023;26/04/2023;Viagem Oficial do Titular
LUIZ MARINHO                                             ;Ministro do Trabalho e Emprego;Gabinete do Ministro;10/06/2023; 17/06/2023;Viagem Oficial
FRANCISCO MACENA DA SILVA                                ;Ministro do Trabalho e Emprego - Substituto;Gabinete do Ministro;10/06/2023; 17/06/2023;Viagem Oficial do Titular
LUIZ MARINHO                                             ;Ministro do Trabalho e Emprego;Gabinete do Ministro;17/07/2023; 23/07/2023;Viagem Oficial
FRANCISCO MACENA DA SILVA                                ;Ministro do Trabalho e Emprego - Substituto;Gabinete do Ministro;17/07/2023; 23/07/2023;Viagem Oficial do Titular
LUIZ MARINHO                                             ;Ministro do Trabalho e Emprego;Gabinete do Ministro;16/09/2023;20/09/2023;Viagem Oficial
FRANCISCO MACENA DA SILVA                                ;Ministro do Trabalho e Emprego - Substituto;Gabinete do Ministro;16/09/2023;20/09/2023;Viagem Oficial do Titular
LUIZ MARINHO                                             ;Ministro do Trabalho e Emprego;Gabinete do Ministro;25/09/2023; 01/10/2023;Viagem Oficial
FRANCISCO MACENA DA SILVA                                ;Ministro do Trabalho e Emprego - Substituto;Gabinete do Ministro;25/09/2023; 01/10/2023;Viagem Oficial do Titular
LUIZ MARINHO                                             ;Ministro do Trabalho e Emprego;Gabinete do Ministro;02/12/2023; 06/12/2023;Viagem Oficial
FRANCISCO MACENA DA SILVA                                ;Ministro do Trabalho e Emprego - Substituto;Gabinete do Ministro;02/12/2023; 06/12/2023;Viagem Oficial do Titular
LUIZ MARINHO                                             ;Ministro do Trabalho e Emprego;Gabinete do Ministro;26/12/2023;31/12/2023;Recesso Final de Ano
FRANCISCO MACENA DA SILVA                                ;Ministro do Trabalho e Emprego - Substituto;Gabinete do Ministro;26/12/2023;31/12/2023;Recesso Final de Ano do Titular
RICARDO DE SOUZA MOREIRA;Secretário-Executivo - Substituto;Secretaria-Executiva;01/01/2023;11/01/2023;Vacância
FRANCISCO MACENA DA SILVA                                ;Secretário-Executivo;Secretaria-Executiva;12/01/2023;23/01/2023;Apostilamento
FRANCISCO MACENA DA SILVA                                ;Secretário-Executivo;Secretaria-Executiva;23/01/2023;13/05/2023;Reestruturação
FRANCISCO MACENA DA SILVA                                ;Secretário-Executivo;Secretaria-Executiva;14/05/2023;20/05/2023;Viagem Oficial
LUCIANA VASCONCELOS NAKAMURA;Secretária-Executiva - Substituta;Secretaria-Executiva;14/05/2023;14/05/2023;Viagem Oficial do Titular
FERNANDO DO AMARAL PEREIRA;Secretário-Executivo - Substituto;Secretaria-Executiva;15/05/2023;20/05/2023;Viagem Oficial do Titular
GUILHERME SCHUCK CANDEMIL                                ;Secretário de Inspeção do Trabalho - Substituto;Secretaria de Inspeção do Trabalho;01/01/2023;23/01/2023;Reestruturação
GUILHERME SCHUCK CANDEMIL                                ;Secretário de Inspeção do Trabalho - Substituto;Secretaria de Inspeção do Trabalho;24/01/2023;16/03/2023;Vacância
LUIZ FELIPE BRANDAO DE MELLO                             ;Secretário de Inspeção do Trabalho;Secretaria de Inspeção do Trabalho;08/10/2023;12/10/2023;Viagem Oficial
HENRIQUE MANDAGARÁ DE SOUZA                          ;Secretário de Inspeção do Trabalho - Substituto;Secretaria de Inspeção do Trabalho;08/10/2023;12/10/2023;Viagem Oficial do Titular
LUIZ FELIPE BRANDAO DE MELLO                             ;Secretário de Inspeção do Trabalho;Secretaria de Inspeção do Trabalho;06/11/2023;10/11/2023;Férias
HENRIQUE MANDAGARÁ DE SOUZA                          ;Secretário de Inspeção do Trabalho - Substituto;Secretaria de Inspeção do Trabalho;06/11/2023;10/11/2023;Férias do titular
LUIZ FELIPE BRANDAO DE MELLO                             ;Secretário de Inspeção do Trabalho;Secretaria de Inspeção do Trabalho;18/11/2023;23/11/2023;Viagem Oficial
HENRIQUE MANDAGARÁ DE SOUZA                          ;Secretário de Inspeção do Trabalho - Substituto;Secretaria de Inspeção do Trabalho;18/11/2023;23/11/2023;Viagem Oficial do Titular
LUIZ FELIPE BRANDAO DE MELLO                             ;Secretário de Inspeção do Trabalho;Secretaria de Inspeção do Trabalho;18/12/2023;30/12/2023;Férias
HENRIQUE MANDAGARÁ DE SOUZA                          ;Secretário de Inspeção do Trabalho - Substituto;Secretaria de Inspeção do Trabalho;18/12/2023;25/12/2023;Férias do titular
CAROLINE SARAIVA ALMEIDA CORASSINI;Secretária de Inspeção do Trabalho - Substituta;Secretaria de Inspeção do Trabalho;26/12/2023;27/12/2023;Férias do titular
LORENA GUIMARÃES ARRUDA;Secretária de Inspeção do Trabalho - Substituta;Secretaria de Inspeção do Trabalho;28/12/2023;30/12/2023;Férias do titular
MARCO ANTONIO FERREIRA COSTA;Secretário de Relações do Trabalho - Substituto;Secretaria de Relações do Trabalho;24/01/2023;26/02/2023;Vacância
MARCOS PERIOTO;Secretário de Relações do Trabalho;Secretaria de Relações do Trabalho;27/02/2023;02/06/2023;Nomeação do Titular
MARCOS PERIOTO;Secretário de Relações do Trabalho;Secretaria de Relações do Trabalho;03/06/2023;17/06/2023;Viagem Oficial
ANDRÉ LUIS GRANDIZOLI;Secretário de Relações do Trabalho - Substituto;Secretaria de Relações do Trabalho;03/06/2023;17/06/2023;Viagem Oficial do Titular
MARCOS PERIOTO;Secretário de Relações do Trabalho;Secretaria de Relações do Trabalho;28/10/2023; 05/11/2023;Viagem Oficial
ANDRÉ LUIS GRANDIZOLI;Secretário de Relações do Trabalho - Substituto;Secretaria de Relações do Trabalho;28/10/2023;05/11/2023;Viagem Oficial do Titular
MARCIO LEAO COELHO                                       ;Secretário de Proteção ao Trabalhador -  Substituto;Secretaria de Proteção ao Trabalhador;24/01/2023;31/01/2023;Vacância
JOAO PAULO FERREIRA MACHADO                              ;Secretário Nacional de Qualificação,  Emprego e  Juventude - Substituto;Secretaria Nacional de Qualificação Emprego e Juventude;24/01/2023;16/03/2023;Vacância
MAGNO ROGERIO CARVALHO LAVIGNE                           ;Secretário Nacional de Qualificação,  Emprego e  Juventude;Secretaria Nacional de Qualificação Emprego e Juventude;17/03/2023;02/10/2023;Nomeação do Titular
MAGNO ROGERIO CARVALHO LAVIGNE                           ;Secretário Nacional de Qualificação,  Emprego e  Juventude;Secretaria Nacional de Qualificação Emprego e Juventude;03/10/2023;07/10/2023;Viagem Oficial
HENRIQUE EDUARDO MEDEIROS AQUINO;Secretário Nacional de Qualificação,  Emprego e  Juventude - Substituto;Secretaria Nacional de Qualificação Emprego e Juventude;03/10/2023;07/10/2023;Viagem Oficial do Titular
MAGNO ROGERIO CARVALHO LAVIGNE                           ;Secretário Nacional de Qualificação,  Emprego e  Juventude;Secretaria Nacional de Qualificação Emprego e Juventude;04/11/2023;11/11/2023;Viagem Oficial
TIAGO OLIVEIRA MOTTA;Secretário Nacional de Qualificação,  Emprego e  Juventude - Substituto;Secretaria Nacional de Qualificação Emprego e Juventude;04/11/2023;11/11/2023;Viagem Oficial do Titular
RENATA BRAZ MELO FRANCO BAHIA                            ;Secretária Nacional de Economia Popular e Solidária - Substituta;Secretaria Nacional de Economia Popular e Solidária;24/01/2023;09/02/2023;Vacância
GILBERTO CARVALHO                                        ;Secretário Nacional de Economia Popular e Solidária ;Secretaria Nacional de Economia Popular e Solidária;10/02/2023;22/04/2023;Nomeação do Titular
GILBERTO CARVALHO                                        ;Secretário Nacional de Economia Popular e Solidária ;Secretaria Nacional de Economia Popular e Solidária;23/04/2023;27/04/2023;Viagem Oficial
MANOEL VITAL DE CARVALHO FILHO                           ;Secretário Nacional de Economia Popular e Solidária - Substituto;Secretaria Nacional de Economia Popular e Solidária;23/04/2023;27/04/2023;Viagem Oficial do Titular
GILBERTO CARVALHO                                        ;Secretário Nacional de Economia Popular e Solidária ;Secretaria Nacional de Economia Popular e Solidária;26/06/2023;01/07/02023;Viagem Oficial
MANOEL VITAL DE CARVALHO FILHO                           ;Secretário Nacional de Economia Popular e Solidária - Substituto;Secretaria Nacional de Economia Popular e Solidária;26/06/2023;01/07/2023;Viagem Oficial do Titular
ROGERIO SOARES DE SOUZA;Diretor de Administração, Finanças e Contabilidade;Diretoria de Logistica Orçamento e Contabilidade;01/01/2023;23/01/2023;Reestruturação
ROGERIO XAVIER ROCHA;Diretor de Administração, Finanças e Contabilidade;Diretoria de Logistica Orçamento e Contabilidade;10/02/2023; 17/02/2023;Férias
AMANDA FREITAS GOMES;Diretora Adjunta de Administração, Finanças e Contabilidade;Diretoria de Logistica Orçamento e Contabilidade;10/02/2023;17/02/2023;Férias do titular
ROGERIO XAVIER ROCHA;Diretor de Administração, Finanças e Contabilidade;Diretoria de Logistica Orçamento e Contabilidade;04/04/2023; 06/04/2023;Licença Tratamento Saúde
AMANDA FREITAS GOMES;Diretora Adjunta de Administração, Finanças e Contabilidade;Diretoria de Logistica Orçamento e Contabilidade;04/04/2023;06/04/2023;Licença Tratamento Saúde do Titular
ROGERIO XAVIER ROCHA;Diretor de Administração, Finanças e Contabilidade;Diretoria de Logistica Orçamento e Contabilidade;12/06/2023; 14/06/2023;Licença Tratamento Saúde
AMANDA FREITAS GOMES;Diretora Adjunta de Administração, Finanças e Contabilidade;Diretoria de Logistica Orçamento e Contabilidade;12/06/2023;14/06/2023;Licença Tratamento Saúde do Titular
ROGERIO XAVIER ROCHA;Diretor de Administração, Finanças e Contabilidade;Diretoria de Logistica Orçamento e Contabilidade;11/09/2023;22/09/2023;Férias
AMANDA FREITAS GOMES;Diretora Adjunta de Administração, Finanças e Contabilidade;Diretoria de Logistica Orçamento e Contabilidade;11/09/2023;22/09/2023;Férias do titular
LUIZ MARINHO                                             ;Ministro do Trabalho e Emprego;Gabinete do Ministro;06/02/2024;16/02/2024;Licença Tratamento Saúde
FRANCISCO MACENA DA SILVA                                ;Ministro do Trabalho e Emprego - Substituto;Gabinete do Ministro;06/02/2024;16/02/2024;Licença Tratamento Saúde do Titular
LUIZ MARINHO                                             ;Ministro do Trabalho e Emprego;Gabinete do Ministro;17/02/2024;04/03/2024;Licença Tratamento Saúde
FRANCISCO MACENA DA SILVA                                ;Ministro do Trabalho e Emprego - Substituto;Gabinete do Ministro;05/03/2024;11/03/2024;Licença Tratamento Saúde do Titular
