"Parâmetros de pesquisa:";"Ano - 2026"
"Acórdão";"Data da sessão";"Colegiado";"Processo";"Tipo de processo";"Relator";"Unidade técnica do TCU"
"4474/2026-1C";"04/08/2026";"Primeira Câmara";"024.503/2025-8";"TOMADA DE CONTAS ESPECIAL";"WEDER DE OLIVEIRA";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"4320/2026-2C";"11/08/2026";"Segunda Câmara";"005.192/2025-0";"PRESTAÇÃO DE CONTAS";"AUGUSTO NARDES";"Unidade de Auditoria Especializada em Previdência, Assistência e Trabalho"
"4317/2026-1C";"04/08/2026";"Primeira Câmara";"011.844/2026-4";"TOMADA DE CONTAS ESPECIAL";"BENJAMIN ZYMLER";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"4222/2026-1C";"04/08/2026";"Primeira Câmara";"012.456/2026-8";"REPRESENTAÇÃO";"WALTON ALENCAR RODRIGUES";"Unidade de Auditoria Especializada em Previdência, Assistência e Trabalho"
"4162/2026-1C";"04/08/2026";"Primeira Câmara";"019.104/2021-9";"TOMADA DE CONTAS ESPECIAL";"WALTON ALENCAR RODRIGUES";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"4092/2026-1C";"21/07/2026";"Primeira Câmara";"028.024/2015-0";"PRESTAÇÃO DE CONTAS";"AUGUSTO SHERMAN";"Unidade de Auditoria Especializada em Previdência, Assistência e Trabalho"
"3966/2026-2C";"04/08/2026";"Segunda Câmara";"025.003/2024-0";"TOMADA DE CONTAS ESPECIAL";"AUGUSTO NARDES";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"3651/2026-1C";"14/07/2026";"Primeira Câmara";"005.602/2024-6";"TOMADA DE CONTAS ESPECIAL";"WALTON ALENCAR RODRIGUES";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"3412/2026-1C";"30/06/2026";"Primeira Câmara";"016.710/2025-8";"TOMADA DE CONTAS ESPECIAL";"BENJAMIN ZYMLER";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"3272/2026-2C";"30/06/2026";"Segunda Câmara";"016.234/2024-3";"TOMADA DE CONTAS ESPECIAL";"AUGUSTO NARDES";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"3241/2026-1C";"23/06/2026";"Primeira Câmara";"006.475/2024-8";"TOMADA DE CONTAS ESPECIAL";"WALTON ALENCAR RODRIGUES";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"3217/2026-1C";"23/06/2026";"Primeira Câmara";"021.294/2022-4";"TOMADA DE CONTAS ESPECIAL";"BRUNO DANTAS";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"3209/2026-1C";"23/06/2026";"Primeira Câmara";"009.427/2017-1";"APOSENTADORIA";"BENJAMIN ZYMLER";"Unidade de Auditoria Especializada em Pessoal"
"3204/2026-1C";"23/06/2026";"Primeira Câmara";"014.110/2025-3";"TOMADA DE CONTAS ESPECIAL";"BENJAMIN ZYMLER";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"3187/2026-1C";"16/06/2026";"Primeira Câmara";"005.938/2026-0";"TOMADA DE CONTAS ESPECIAL";"WEDER DE OLIVEIRA";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"3164/2026-2C";"23/06/2026";"Segunda Câmara";"000.970/2026-3";"TOMADA DE CONTAS ESPECIAL";"AUGUSTO NARDES";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"3045/2026-2C";"16/06/2026";"Segunda Câmara";"007.066/2026-0";"TOMADA DE CONTAS ESPECIAL";"JHONATAN DE JESUS";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"2790/2026-1C";"09/06/2026";"Primeira Câmara";"016.716/2025-6";"TOMADA DE CONTAS ESPECIAL";"BENJAMIN ZYMLER";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"2780/2026-2C";"16/06/2026";"Segunda Câmara";"021.180/2025-3";"TOMADA DE CONTAS ESPECIAL";"JHONATAN DE JESUS";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"2734/2026-2C";"09/06/2026";"Segunda Câmara";"023.697/2025-3";"TOMADA DE CONTAS ESPECIAL";"MARCOS BEMQUERER";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"2506/2026-1C";"26/05/2026";"Primeira Câmara";"014.115/2025-5";"TOMADA DE CONTAS ESPECIAL";"BENJAMIN ZYMLER";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"2483/2026-2C";"02/06/2026";"Segunda Câmara";"016.234/2024-3";"TOMADA DE CONTAS ESPECIAL";"AUGUSTO NARDES";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"2402/2026-2C";"26/05/2026";"Segunda Câmara";"018.375/2025-1";"REPRESENTAÇÃO";"AUGUSTO NARDES";"Unidade de Auditoria Especializada em Previdência, Assistência e Trabalho"
"2378/2026-2C";"26/05/2026";"Segunda Câmara";"002.193/2023-0";"TOMADA DE CONTAS ESPECIAL";"JORGE OLIVEIRA";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"2338/2026-2C";"19/05/2026";"Segunda Câmara";"006.047/2026-2";"TOMADA DE CONTAS ESPECIAL";"JHONATAN DE JESUS";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"2324/2026-1C";"12/05/2026";"Primeira Câmara";"031.811/2022-1";"TOMADA DE CONTAS ESPECIAL";"JHONATAN DE JESUS";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"2299/2026-2C";"19/05/2026";"Segunda Câmara";"006.755/2026-7";"REPRESENTAÇÃO";"AUGUSTO NARDES";"Unidade de Auditoria Especializada em Previdência, Assistência e Trabalho"
"2298/2026-2C";"19/05/2026";"Segunda Câmara";"001.020/2026-9";"TOMADA DE CONTAS ESPECIAL";"AUGUSTO NARDES";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"2221/2026-2C";"12/05/2026";"Segunda Câmara";"016.119/2009-2";"TOMADA DE CONTAS ESPECIAL";"MARCOS BEMQUERER";"Secretaria do TCU no Estado de Minas Gerais"
"2083/2026-PL";"05/08/2026";"Plenário";"037.375/2023-7";"DENÚNCIA";"BENJAMIN ZYMLER";"Unidade de Auditoria Especializada em Previdência, Assistência e Trabalho"
"2052/2026-PL";"05/08/2026";"Plenário";"024.381/2025-0";"REPRESENTAÇÃO";"JORGE OLIVEIRA";"Unidade de Auditoria Especializada em Orçamento, Tributação e Gestão Fiscal"
"2044/2026-PL";"05/08/2026";"Plenário";"007.235/2026-7";"REPRESENTAÇÃO";"JORGE OLIVEIRA";"Unidade de Auditoria Especializada em Contratações"
"2019/2026-PL";"29/07/2026";"Plenário";"015.635/2025-2";"RELATÓRIO DE AUDITORIA";"ODAIR CUNHA";"Unidade de Auditoria Especializada em Tecnologia da Informação"
"1974/2026-1C";"28/04/2026";"Primeira Câmara";"022.846/2025-5";"TOMADA DE CONTAS ESPECIAL";"BENJAMIN ZYMLER";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"1973/2026-1C";"28/04/2026";"Primeira Câmara";"022.845/2025-9";"TOMADA DE CONTAS ESPECIAL";"BENJAMIN ZYMLER";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"1956/2026-2C";"28/04/2026";"Segunda Câmara";"021.339/2025-2";"TOMADA DE CONTAS ESPECIAL";"ANTONIO ANASTASIA";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"1867/2026-PL";"15/07/2026";"Plenário";"012.926/2017-5";"DENÚNCIA";"WEDER DE OLIVEIRA";"Unidade de Auditoria Especializada em Previdência, Assistência e Trabalho"
"1805/2026-PL";"08/07/2026";"Plenário";"001.364/2026-0";"DENÚNCIA";"WALTON ALENCAR RODRIGUES";"Unidade de Auditoria Especializada em Bancos Públicos e Reguladores Financeiros"
"1799/2026-2C";"14/04/2026";"Segunda Câmara";"021.357/2025-0";"TOMADA DE CONTAS ESPECIAL";"ANTONIO ANASTASIA";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"1769/2026-PL";"01/07/2026";"Plenário";"018.781/2024-1";"MONITORAMENTO";"MARCOS BEMQUERER";"Unidade de Auditoria Especializada em Previdência, Assistência e Trabalho"
"1743/2026-PL";"01/07/2026";"Plenário";"011.103/2025-6";"RELATÓRIO DE AUDITORIA";"BENJAMIN ZYMLER";"Unidade de Auditoria Especializada em Educação, Cultura, Esporte e Direitos Humanos"
"1715/2026-1C";"14/04/2026";"Primeira Câmara";"014.938/2025-1";"TOMADA DE CONTAS ESPECIAL";"WALTON ALENCAR RODRIGUES";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"1712/2026-1C";"14/04/2026";"Primeira Câmara";"000.258/2024-5";"TOMADA DE CONTAS ESPECIAL";"WALTON ALENCAR RODRIGUES";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"1687/2026-PL";"24/06/2026";"Plenário";"010.349/2003-6";"TOMADA DE CONTAS";"AUGUSTO SHERMAN";"Unidade de Auditoria Especializada em Previdência, Assistência e Trabalho"
"1678/2026-2C";"14/04/2026";"Segunda Câmara";"014.565/2023-4";"TOMADA DE CONTAS ESPECIAL";"MARCOS BEMQUERER";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"1672/2026-1C";"14/04/2026";"Primeira Câmara";"022.029/2023-0";"TOMADA DE CONTAS ESPECIAL";"BRUNO DANTAS";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"1642/2026-PL";"24/06/2026";"Plenário";"033.078/2023-8";"MONITORAMENTO";"WEDER DE OLIVEIRA";"Unidade de Auditoria Especializada em Bancos Públicos e Reguladores Financeiros"
"1621/2026-PL";"24/06/2026";"Plenário";"015.553/2025-6";"RELATÓRIO DE AUDITORIA";"BRUNO DANTAS";"Unidade de Auditoria Especializada em Tecnologia da Informação"
"1609/2026-2C";"07/04/2026";"Segunda Câmara";"035.063/2023-8";"TOMADA DE CONTAS ESPECIAL";"ANTONIO ANASTASIA";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"1585/2026-1C";"07/04/2026";"Primeira Câmara";"014.517/2023-0";"TOMADA DE CONTAS ESPECIAL";"AUGUSTO SHERMAN";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"1571/2026-PL";"17/06/2026";"Plenário";"007.714/2024-6";"RELATÓRIO DE ACOMPANHAMENTO";"BRUNO DANTAS";"Unidade de Auditoria Especializada em Contratações"
"1563/2026-1C";"31/03/2026";"Primeira Câmara";"021.177/2025-2";"TOMADA DE CONTAS ESPECIAL";"JHONATAN DE JESUS";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"1498/2026-1C";"31/03/2026";"Primeira Câmara";"031.811/2022-1";"TOMADA DE CONTAS ESPECIAL";"JHONATAN DE JESUS";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"1482/2026-PL";"10/06/2026";"Plenário";"045.307/2021-0";"MONITORAMENTO";"MARCOS BEMQUERER";"Unidade de Auditoria Especializada em Previdência, Assistência e Trabalho"
"1456/2026-PL";"10/06/2026";"Plenário";"001.497/2026-0";"MONITORAMENTO";"AUGUSTO NARDES";"Unidade de Auditoria Especializada em Previdência, Assistência e Trabalho"
"1347/2026-PL";"27/05/2026";"Plenário";"010.327/2003-9";"TOMADA DE CONTAS ESPECIAL";"AUGUSTO SHERMAN";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"1277/2026-PL";"19/05/2026";"Plenário";"038.587/2021-1";"RELATÓRIO DE AUDITORIA";"AUGUSTO NARDES";"Unidade de Auditoria Especializada em Bancos Públicos e Reguladores Financeiros"
"1270/2026-PL";"19/05/2026";"Plenário";"003.694/2017-8";"REPRESENTAÇÃO";"WEDER DE OLIVEIRA";"Unidade de Auditoria Especializada em Agricultura, Meio ambiente e Desenvolvimento Sustentável"
"1267/2026-2C";"17/03/2026";"Segunda Câmara";"019.824/2024-6";"TOMADA DE CONTAS ESPECIAL";"MARCOS BEMQUERER";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"1265/2026-1C";"17/03/2026";"Primeira Câmara";"014.525/2023-2";"TOMADA DE CONTAS ESPECIAL";"AUGUSTO SHERMAN";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"1208/2026-1C";"10/03/2026";"Primeira Câmara";"013.049/2025-9";"RECOLHIMENTO ADMINISTRATIVO PARCELADO";"AUGUSTO SHERMAN";"Unidade de Auditoria Especializada em Pessoal"
"1200/2026-2C";"10/03/2026";"Segunda Câmara";"020.412/2025-8";"TOMADA DE CONTAS ESPECIAL";"ANTONIO ANASTASIA";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"1155/2026-PL";"06/05/2026";"Plenário";"000.375/2025-0";"MONITORAMENTO";"MARCOS BEMQUERER";"Unidade de Auditoria Especializada em Agricultura, Meio ambiente e Desenvolvimento Sustentável"
"1106/2026-PL";"06/05/2026";"Plenário";"006.385/2019-2";"PRESTAÇÃO DE CONTAS";"BRUNO DANTAS";"Unidade de Auditoria Especializada em Previdência, Assistência e Trabalho"
"1096/2026-2C";"10/03/2026";"Segunda Câmara";"008.164/2024-0";"TOMADA DE CONTAS ESPECIAL";"MARCOS BEMQUERER";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"1079/2026-PL";"29/04/2026";"Plenário";"007.235/2026-7";"REPRESENTAÇÃO";"JORGE OLIVEIRA";"Unidade de Auditoria Especializada em Contratações"
"1048/2026-1C";"10/03/2026";"Primeira Câmara";"014.543/2023-0";"TOMADA DE CONTAS ESPECIAL";"AUGUSTO SHERMAN";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"1012/2026-1C";"03/03/2026";"Primeira Câmara";"008.472/2025-4";"MONITORAMENTO";"WEDER DE OLIVEIRA";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"973/2026-PL";"22/04/2026";"Plenário";"012.712/2022-1";"MONITORAMENTO";"JHONATAN DE JESUS";"Unidade de Auditoria Especializada em Previdência, Assistência e Trabalho"
"972/2026-1C";"03/03/2026";"Primeira Câmara";"021.181/2025-0";"TOMADA DE CONTAS ESPECIAL";"JHONATAN DE JESUS";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"971/2026-1C";"03/03/2026";"Primeira Câmara";"016.825/2025-0";"TOMADA DE CONTAS ESPECIAL";"JHONATAN DE JESUS";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"939/2026-PL";"15/04/2026";"Plenário";"008.687/2024-2";"RELATÓRIO DE AUDITORIA";"BENJAMIN ZYMLER";"Unidade de Auditoria Especializada em Defesa Nacional e Segurança Pública"
"932/2026-2C";"24/02/2026";"Segunda Câmara";"005.226/2023-6";"TOMADA DE CONTAS ESPECIAL";"MARCOS BEMQUERER";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"881/2026-2C";"24/02/2026";"Segunda Câmara";"018.009/2025-5";"TOMADA DE CONTAS ESPECIAL";"JORGE OLIVEIRA";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"862/2026-PL";"08/04/2026";"Plenário";"007.442/2025-4";"RELATÓRIO DE ACOMPANHAMENTO";"AUGUSTO NARDES";"Unidade de Auditoria Especializada em Pessoal"
"843/2026-PL";"08/04/2026";"Plenário";"001.040/2017-0";"RELATÓRIO DE LEVANTAMENTO";"ANTONIO ANASTASIA";"Unidade de Auditoria Especializada em Previdência, Assistência e Trabalho"
"835/2026-2C";"24/02/2026";"Segunda Câmara";"018.754/2025-2";"TOMADA DE CONTAS ESPECIAL";"AROLDO CEDRAZ";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"770/2026-1C";"24/02/2026";"Primeira Câmara";"032.133/2023-5";"TOMADA DE CONTAS ESPECIAL";"WEDER DE OLIVEIRA";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"769/2026-1C";"24/02/2026";"Primeira Câmara";"004.819/2023-3";"TOMADA DE CONTAS ESPECIAL";"WEDER DE OLIVEIRA";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"756/2026-2C";"24/02/2026";"Segunda Câmara";"023.044/2024-1";"TOMADA DE CONTAS ESPECIAL";"AROLDO CEDRAZ";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"660/2026-1C";"24/02/2026";"Primeira Câmara";"020.416/2025-3";"TOMADA DE CONTAS ESPECIAL";"WALTON ALENCAR RODRIGUES";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"636/2026-1C";"24/02/2026";"Primeira Câmara";"032.932/2023-5";"TOMADA DE CONTAS ESPECIAL";"WALTON ALENCAR RODRIGUES";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"583/2026-1C";"10/02/2026";"Primeira Câmara";"004.754/2023-9";"TOMADA DE CONTAS ESPECIAL";"WEDER DE OLIVEIRA";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"571/2026-PL";"11/03/2026";"Plenário";"009.123/2025-3";"REPRESENTAÇÃO";"BENJAMIN ZYMLER";"Unidade de Auditoria Especializada em Previdência, Assistência e Trabalho"
"549/2026-1C";"10/02/2026";"Primeira Câmara";"020.374/2025-9";"TOMADA DE CONTAS ESPECIAL";"BENJAMIN ZYMLER";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
"484/2026-PL";"04/03/2026";"Plenário";"004.012/2026-7";"RECOLHIMENTO ADMINISTRATIVO PARCELADO";"BENJAMIN ZYMLER";"Unidade de Auditoria Especializada em Previdência, Assistência e Trabalho"
"444/2026-1C";"03/02/2026";"Primeira Câmara";"018.821/2025-1";"TOMADA DE CONTAS ESPECIAL";"BENJAMIN ZYMLER";"Unidade de Auditoria Especializada em Tomada de Contas Especial"
