Comunicação;Destinatário;Contato;Unidade Emitente;Processo;Data de Expedição;Data da Resposta
Ofício 027.852/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;031.437/2022-2;27/07/2026;
Ofício 027.870/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;038.891/2023-9;27/07/2026;
Ofício 027.799/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;007.442/2025-4;23/07/2026;
Ofício 001.590/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;AUDPESSOAL;004.206/2026-6;22/07/2026;28/07/2026
Ofício 027.040/2026;Identidade preservada;FRANCISCO MACENA DA SILVA;SEPROC;012.926/2017-5;21/07/2026;
Ofício 027.122/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;006.866/2024-7;20/07/2026;
Ofício 026.988/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;016.234/2024-3;20/07/2026;
Ofício 026.425/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;006.475/2024-8;16/07/2026;
Ofício 026.404/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;021.294/2022-4;16/07/2026;
Ofício 000.116/2026;ASSESSORIA ESPECIAL DE CONTROLE INTERNO DO MINISTÉRIO DO TRABALHO E EMPREGO;CLAUDIO ANTONIO DE ALMEIDA PY;AUDFISCAL;012.513/2026-1;15/07/2026;16/07/2026
Ofício 000.100/2026;MINISTÉRIO DO TRABALHO E EMPREGO;CLAUDIO ANTONIO DE ALMEIDA PY;AUDFINANCEIRA;014.535/2026-2;15/07/2026;27/07/2026
Ofício 025.246/2026;FUNDO DE GARANTIA POR TEMPO DE SERVIÇO;PRESIDENTE DO CONSELHO CURADOR DO FGTS;SEPROC;033.078/2023-8;15/07/2026;
Ofício 025.248/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;033.078/2023-8;15/07/2026;
Ofício 000.034/2026;MINISTÉRIO DO TRABALHO E EMPREGO;CLAUDIO ANTONIO DE ALMEIDA PY;AUDGESTÃOINOVAÇÃO;008.268/2026-6;14/07/2026;27/07/2026
Ofício 025.397/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;022.846/2025-5;13/07/2026;
Ofício 025.727/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;035.071/2023-0;13/07/2026;
Ofício 025.925/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;007.066/2026-0;13/07/2026;
Ofício 025.725/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;SECRETÁRIO(A)-EXECUTIVO(A) DO MINISTÉRIO DO TRABALHO E EMPREGO;SEPROC;023.697/2025-3;08/07/2026;
Ofício 025.144/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;011.103/2025-6;08/07/2026;
Ofício 000.058/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;AUDBANCOS;014.285/2026-6;08/07/2026;14/07/2026
Ofício 000.057/2026;CONSELHO CURADOR DO FUNDO DE GARANTIA POR TEMPO DE SERVIÇO;QUENIO CERQUEIRA DE FRANÇA;AUDBANCOS;014.285/2026-6;08/07/2026;14/07/2026
Ofício 025.083/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;SEPROC;015.553/2025-6;07/07/2026;
Ofício 000.055/2026;SECRETARIA-EXECUTIVA DO MINISTÉRIO DO TRABALHO E EMPREGO;FRANCISCO MACENA DA SILVA;AUDBANCOS;014.285/2026-6;07/07/2026;
Ofício 025.016/2026;ASSESSORIA ESPECIAL DE CONTROLE INTERNO DO MINISTÉRIO DO TRABALHO E EMPREGO;DIRETOR(A);SEPROC;018.781/2024-1;03/07/2026;
