Data da sessão;Unidade Instauradora;Descrição Acórdão;Processo;TCE
14/07/2026;Ministério do Trabalho e Emprego;Acórdão 3651/2026-1C;005.602/2024-6;932|2023
30/06/2026;Ministério do Trabalho e Emprego;Acórdão 3272/2026-2C;016.234/2024-3;470|2024
30/06/2026;Ministério do Trabalho e Emprego;Acórdão 3412/2026-1C;016.710/2025-8;1614|2023
23/06/2026;Ministério do Trabalho e Emprego;Acórdão 3204/2026-1C;014.110/2025-3;2802|2024
23/06/2026;Ministério do Trabalho e Emprego;Acórdão 3241/2026-1C;006.475/2024-8;2072|2023
23/06/2026;Ministério do Trabalho e Emprego;Acórdão 3164/2026-2C;000.970/2026-3;2738|2025
23/06/2026;Ministério do Trabalho e Emprego;Acórdão 3217/2026-1C;021.294/2022-4;1295|2022
16/06/2026;Ministério do Trabalho e Emprego;Acórdão 3187/2026-1C;005.938/2026-0;3221|2025
16/06/2026;Ministério do Trabalho e Emprego;Acórdão 3045/2026-2C;007.066/2026-0;3225|2025
16/06/2026;Ministério do Trabalho e Emprego;Acórdão 2780/2026-2C;021.180/2025-3;1151|2025
09/06/2026;Ministério do Trabalho e Emprego;Acórdão 2734/2026-2C;023.697/2025-3;733|2025
09/06/2026;Ministério do Trabalho e Emprego;Acórdão 2790/2026-1C;016.716/2025-6;2810|2024
02/06/2026;Ministério do Trabalho e Emprego;Acórdão 2483/2026-2C;016.234/2024-3;470|2024
26/05/2026;Ministério do Trabalho e Emprego;Acórdão 2378/2026-2C;002.193/2023-0;1720|2022
26/05/2026;Ministério do Trabalho e Emprego;Acórdão 2506/2026-1C;014.115/2025-5;2825|2024
19/05/2026;Ministério do Trabalho e Emprego;Acórdão 2338/2026-2C;006.047/2026-2;1553|2024
19/05/2026;Ministério do Trabalho e Emprego;Acórdão 2298/2026-2C;001.020/2026-9;2236|2025
12/05/2026;Ministério do Trabalho e Emprego;Acórdão 2324/2026-1C;031.811/2022-1;1678|2022
28/04/2026;Ministério do Trabalho e Emprego;Acórdão 1974/2026-1C;022.846/2025-5;2257|2025
28/04/2026;Ministério do Trabalho e Emprego;Acórdão 1973/2026-1C;022.845/2025-9;1495|2025
28/04/2026;Ministério do Trabalho e Emprego;Acórdão 1956/2026-2C;021.339/2025-2;1212|2024
14/04/2026;Ministério do Trabalho e Emprego;Acórdão 1672/2026-1C;022.029/2023-0;341|2023
14/04/2026;Ministério do Trabalho e Emprego;Acórdão 1715/2026-1C;014.938/2025-1;2827|2024
14/04/2026;Ministério do Trabalho e Emprego;Acórdão 1712/2026-1C;000.258/2024-5;1969|2023
14/04/2026;Ministério do Trabalho e Emprego;Acórdão 1799/2026-2C;021.357/2025-0;2844|2024
07/04/2026;Ministério do Trabalho e Emprego;Acórdão 1609/2026-2C;035.063/2023-8;1204|2023
07/04/2026;Ministério do Trabalho e Emprego;Acórdão 1585/2026-1C;014.517/2023-0;3185|2022
31/03/2026;Ministério do Trabalho e Emprego;Acórdão 1563/2026-1C;021.177/2025-2;1123|2025
31/03/2026;Ministério do Trabalho e Emprego;Acórdão 1498/2026-1C;031.811/2022-1;1678|2022
18/03/2026;Ministério do Trabalho e Emprego;Acórdão 1265/2026-1C;014.525/2023-2;3214|2022
17/03/2026;Ministério do Trabalho e Emprego;Acórdão 1267/2026-2C;019.824/2024-6;493|2024
11/03/2026;Ministério do Trabalho e Emprego;Acórdão 1200/2026-2C;020.412/2025-8;1480|2025
11/03/2026;Ministério do Trabalho e Emprego;Acórdão 1096/2026-2C;008.164/2024-0;154|2024
10/03/2026;Ministério do Trabalho e Emprego;Acórdão 1048/2026-1C;014.543/2023-0;3195|2022
03/03/2026;Ministério do Trabalho e Emprego;Acórdão 971/2026-1C;016.825/2025-0;698|2025
03/03/2026;Ministério do Trabalho e Emprego;Acórdão 972/2026-1C;021.181/2025-0;1179|2025
24/02/2026;Ministério do Trabalho e Emprego;Acórdão 660/2026-1C;020.416/2025-3;1180|2025
24/02/2026;Ministério do Trabalho e Emprego;Acórdão 770/2026-1C;032.133/2023-5;897|2023
24/02/2026;Ministério do Trabalho e Emprego;Acórdão 769/2026-1C;004.819/2023-3;2495|2022
24/02/2026;Ministério do Trabalho e Emprego;Acórdão 636/2026-1C;032.932/2023-5;989|2023
24/02/2026;Ministério do Trabalho e Emprego;Acórdão 932/2026-2C;005.226/2023-6;2378|2022
24/02/2026;Ministério do Trabalho e Emprego;Acórdão 835/2026-2C;018.754/2025-2;718|2025
24/02/2026;Ministério do Trabalho e Emprego;Acórdão 881/2026-2C;018.009/2025-5;1243|2025
24/02/2026;Ministério do Trabalho e Emprego;Acórdão 756/2026-2C;023.044/2024-1;997|2024
10/02/2026;Ministério do Trabalho e Emprego;Acórdão 549/2026-1C;020.374/2025-9;2830|2024
10/02/2026;Ministério do Trabalho e Emprego;Acórdão 583/2026-1C;004.754/2023-9;2440|2022
03/02/2026;Ministério do Trabalho e Emprego;Acórdão 444/2026-1C;018.821/2025-1;1490|2025
28/01/2026;Ministério do Trabalho e Emprego;Acórdão 238/2026-2C;018.752/2025-0;732|2025
28/01/2026;Ministério do Trabalho e Emprego;Acórdão 239/2026-2C;018.756/2025-5;730|2025
28/01/2026;Ministério do Trabalho e Emprego;Acórdão 79/2026-2C;035.071/2023-0;1370|2023
27/01/2026;Ministério do Trabalho e Emprego;Acórdão 302/2026-1C;020.485/2025-5;1497|2025
27/01/2026;Ministério do Trabalho e Emprego;Acórdão 183/2026-1C;025.671/2024-3;552|2024
21/01/2026;Ministério do Trabalho e Emprego;Acórdão 70/2026-PL;018.750/2025-7;2892|2024
02/12/2025;Ministério do Trabalho e Emprego;Acórdão 8212/2025-1C;032.184/2023-9;1082|2023
02/12/2025;Ministério do Trabalho e Emprego;Acórdão 8131/2025-1C;037.329/2023-5;1276|2023
02/12/2025;Ministério do Trabalho e Emprego;Acórdão 6846/2025-2C;016.234/2024-3;470|2024
02/12/2025;Ministério do Trabalho e Emprego;Acórdão 6851/2025-2C;040.487/2023-7;1675|2023
02/12/2025;Ministério do Trabalho e Emprego;Acórdão 8504/2025-1C;017.246/2025-3;1176|2025
18/11/2025;Ministério do Trabalho e Emprego;Acórdão 6697/2025-2C;013.130/2022-6;822|2022
